From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
ADSL,P30566,reviewed,PUR8_HUMAN,Adenylosuccinate lyase (ADSL) (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase),ADSL AMPS,Homo sapiens (Human),484
AFG3L2,Q9Y4W6,reviewed,AFG32_HUMAN,AFG3-like protein 2 (EC 3.4.24.-) (Paraplegin-like protein),AFG3L2,Homo sapiens (Human),797
AGAP2,Q99490,reviewed,AGAP2_HUMAN,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2 (AGAP-2) (Centaurin-gamma-1) (Cnt-g1) (GTP-binding and GTPase-activating protein 2) (GGAP2) (Phosphatidylinositol 3-kinase enhancer) (PIKE)",AGAP2 CENTG1 KIAA0167,Homo sapiens (Human),1192
AGFG2,O95081,reviewed,AGFG2_HUMAN,Arf-GAP domain and FG repeat-containing protein 2 (HIV-1 Rev-binding protein-like protein) (Rev/Rex activation domain-binding protein related) (RAB-R),AGFG2 HRBL RABR,Homo sapiens (Human),481
AHNAK2,Q8IVF2,reviewed,AHNK2_HUMAN,Protein AHNAK2,AHNAK2 C14orf78 KIAA2019,Homo sapiens (Human),5795
AHSP,Q9NZD4,reviewed,AHSP_HUMAN,Alpha-hemoglobin-stabilizing protein (Erythroid differentiation-related factor) (Erythroid-associated factor),AHSP EDRF ERAF,Homo sapiens (Human),102
AIF1,P55008,reviewed,AIF1_HUMAN,Allograft inflammatory factor 1 (AIF-1) (Ionized calcium-binding adapter molecule 1) (Protein G1),AIF1 G1 IBA1,Homo sapiens (Human),147
AK5,Q9Y6K8,reviewed,KAD5_HUMAN,Adenylate kinase isoenzyme 5 (AK 5) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 5),AK5,Homo sapiens (Human),562
AK9,Q5TCS8,reviewed,KAD9_HUMAN,Adenylate kinase 9 (AK 9) (EC 2.7.4.4) (EC 2.7.4.6) (Adenylate kinase domain-containing protein 1) (Adenylate kinase domain-containing protein 2),AK9 AKD1 AKD2 C6orf199 C6orf224,Homo sapiens (Human),1911
AKAP5,P24588,reviewed,AKAP5_HUMAN,A-kinase anchor protein 5 (AKAP-5) (A-kinase anchor protein 79 kDa) (AKAP 79) (H21) (cAMP-dependent protein kinase regulatory subunit II high affinity-binding protein),AKAP5 AKAP79,Homo sapiens (Human),427
AKAP8L,Q9ULX6,reviewed,AKP8L_HUMAN,A-kinase anchor protein 8-like (AKAP8-like protein) (Helicase A-binding protein 95) (HAP95) (Homologous to AKAP95 protein) (HA95) (Neighbor of A-kinase-anchoring protein 95) (Neighbor of AKAP95),AKAP8L NAKAP NAKAP95 HRIHFB2018,Homo sapiens (Human),646
AKR7A2,O43488,reviewed,ARK72_HUMAN,Aflatoxin B1 aldehyde reductase member 2 (EC 1.1.1.n11) (AFB1 aldehyde reductase 1) (AFB1-AR 1) (Aldoketoreductase 7) (Succinic semialdehyde reductase) (SSA reductase),AKR7A2 AFAR AFAR1 AKR7,Homo sapiens (Human),359
ALAS1,P13196,reviewed,HEM1_HUMAN,"5-aminolevulinate synthase, non-specific, mitochondrial (ALAS-H) (EC 2.3.1.37) (5-aminolevulinic acid synthase 1) (Delta-ALA synthase 1) (Delta-aminolevulinate synthase 1)",ALAS1 ALAS3 ALASH OK/SW-cl.121,Homo sapiens (Human),640
ALCAM,Q13740,reviewed,CD166_HUMAN,CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166),ALCAM MEMD,Homo sapiens (Human),583
ALDH1L1,O75891,reviewed,AL1L1_HUMAN,Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1),ALDH1L1 FTHFD,Homo sapiens (Human),902
ALDH4A1,P30038,reviewed,AL4A1_HUMAN,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (P5C dehydrogenase) (EC 1.2.1.88) (Aldehyde dehydrogenase family 4 member A1) (L-glutamate gamma-semialdehyde dehydrogenase)",ALDH4A1 ALDH4 P5CDH,Homo sapiens (Human),563
ALDH5A1,P51649,reviewed,SSDH_HUMAN,"Succinate-semialdehyde dehydrogenase, mitochondrial (EC 1.2.1.24) (Aldehyde dehydrogenase family 5 member A1) (NAD(+)-dependent succinic semialdehyde dehydrogenase)",ALDH5A1 SSADH,Homo sapiens (Human),535
ALDH6A1,Q02252,reviewed,MMSA_HUMAN,"Methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial (MMSDH) (EC 1.2.1.27) (Aldehyde dehydrogenase family 6 member A1) (Malonate-semialdehyde dehydrogenase [acylating])",ALDH6A1 MMSDH,Homo sapiens (Human),535
ALDH7A1,P49419,reviewed,AL7A1_HUMAN,Alpha-aminoadipic semialdehyde dehydrogenase (Alpha-AASA dehydrogenase) (EC 1.2.1.31) (Aldehyde dehydrogenase family 7 member A1) (EC 1.2.1.3) (Antiquitin-1) (Betaine aldehyde dehydrogenase) (EC 1.2.1.8) (Delta1-piperideine-6-carboxylate dehydrogenase) (P6c dehydrogenase),ALDH7A1 ATQ1,Homo sapiens (Human),539
ALOX5,P09917,reviewed,LOX5_HUMAN,Polyunsaturated fatty acid 5-lipoxygenase (EC 1.13.11.-) (Arachidonate 5-lipoxygenase) (5-LO) (5-lipoxygenase) (EC 1.13.11.34),ALOX5 LOG5,Homo sapiens (Human),674
ALOX5AP,P20292,reviewed,AL5AP_HUMAN,Arachidonate 5-lipoxygenase-activating protein (FLAP) (MK-886-binding protein),ALOX5AP FLAP,Homo sapiens (Human),161
ALS2,Q96Q42,reviewed,ALS2_HUMAN,Alsin (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 6 protein) (Amyotrophic lateral sclerosis 2 protein),ALS2 ALS2CR6 KIAA1563,Homo sapiens (Human),1657
AMER2,Q8N7J2,reviewed,AMER2_HUMAN,APC membrane recruitment protein 2 (Amer2) (Protein FAM123A),AMER2 FAM123A,Homo sapiens (Human),671
AMPH,P49418,reviewed,AMPH_HUMAN,Amphiphysin,AMPH AMPH1,Homo sapiens (Human),695
ANAPC2,Q9UJX6,reviewed,ANC2_HUMAN,Anaphase-promoting complex subunit 2 (APC2) (Cyclosome subunit 2),ANAPC2 APC2 KIAA1406,Homo sapiens (Human),822
ANK2,Q01484,reviewed,ANK2_HUMAN,Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin) (Non-erythroid ankyrin),ANK2 ANKB,Homo sapiens (Human),3957
ANK3,Q12955,reviewed,ANK3_HUMAN,Ankyrin-3 (ANK-3) (Ankyrin-G),ANK3,Homo sapiens (Human),4377
ANKRD13A,Q8IZ07,reviewed,AN13A_HUMAN,Ankyrin repeat domain-containing protein 13A (Protein KE03),ANKRD13A ANKRD13,Homo sapiens (Human),590
ANLN,Q9NQW6,reviewed,ANLN_HUMAN,Anillin,ANLN,Homo sapiens (Human),1124
ANXA1,P04083,reviewed,ANXA1_HUMAN,Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35) [Cleaved into: Annexin Ac2-26],ANXA1 ANX1 LPC1,Homo sapiens (Human),346
ANXA6,P08133,reviewed,ANXA6_HUMAN,Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70),ANXA6 ANX6,Homo sapiens (Human),673
AP3B2,Q13367,reviewed,AP3B2_HUMAN,AP-3 complex subunit beta-2 (Adaptor protein complex AP-3 subunit beta-2) (Adaptor-related protein complex 3 subunit beta-2) (Beta-3B-adaptin) (Clathrin assembly protein complex 3 beta-2 large chain) (Neuron-specific vesicle coat protein beta-NAP),AP3B2,Homo sapiens (Human),1082
APAF1,O14727,reviewed,APAF_HUMAN,Apoptotic protease-activating factor 1 (APAF-1),APAF1 KIAA0413,Homo sapiens (Human),1248
APBB1IP,Q7Z5R6,reviewed,AB1IP_HUMAN,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein (APBB1-interacting protein 1) (Proline-rich EVH1 ligand 1) (PREL-1) (Proline-rich protein 73) (Rap1-GTP-interacting adapter molecule) (RIAM) (Retinoic acid-responsive proline-rich protein 1) (RARP-1),APBB1IP PREL1 RARP1 RIAM,Homo sapiens (Human),666
APLP1,P51693,reviewed,APLP1_HUMAN,Amyloid beta precursor like protein 1 (Amyloid beta (A4) precursor-like protein 1) (Amyloid-like protein 1) (APLP) (APLP-1) [Cleaved into: C30],APLP1,Homo sapiens (Human),650
APOBR,Q0VD83,reviewed,APOBR_HUMAN,Apolipoprotein B receptor (Apolipoprotein B-100 receptor) (Apolipoprotein B-48 receptor) (Apolipoprotein B48 receptor) (apoB-48R),APOBR APOB48R,Homo sapiens (Human),1097
APOD,P05090,reviewed,APOD_HUMAN,Apolipoprotein D (Apo-D) (ApoD),APOD,Homo sapiens (Human),189
APOE,P02649,reviewed,APOE_HUMAN,Apolipoprotein E (Apo-E),APOE,Homo sapiens (Human),317
APP,P05067,reviewed,A4_HUMAN,Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31],APP A4 AD1,Homo sapiens (Human),770
AQP1,P29972,reviewed,AQP1_HUMAN,Aquaporin-1 (AQP-1) (Aquaporin-CHIP) (Urine water channel) (Water channel protein for red blood cells and kidney proximal tubule),AQP1 CHIP28,Homo sapiens (Human),269
AQP4,P55087,reviewed,AQP4_HUMAN,Aquaporin-4 (AQP-4) (Mercurial-insensitive water channel) (MIWC) (WCH4),AQP4,Homo sapiens (Human),323
ARFGAP2,Q8N6H7,reviewed,ARFG2_HUMAN,ADP-ribosylation factor GTPase-activating protein 2 (ARF GAP 2) (GTPase-activating protein ZNF289) (Zinc finger protein 289),ARFGAP2 ZNF289 Nbla10535,Homo sapiens (Human),521
ARG1,P05089,reviewed,ARGI1_HUMAN,Arginase-1 (EC 3.5.3.1) (Liver-type arginase) (Type I arginase),ARG1,Homo sapiens (Human),322
ARHGAP12,Q8IWW6,reviewed,RHG12_HUMAN,Rho GTPase-activating protein 12 (Rho-type GTPase-activating protein 12),ARHGAP12,Homo sapiens (Human),846
ARHGAP25,P42331,reviewed,RHG25_HUMAN,Rho GTPase-activating protein 25 (Rho-type GTPase-activating protein 25),ARHGAP25 KIAA0053,Homo sapiens (Human),645
ARHGAP27,Q6ZUM4,reviewed,RHG27_HUMAN,Rho GTPase-activating protein 27 (CIN85-associated multi-domain-containing Rho GTPase-activating protein 1) (Rho-type GTPase-activating protein 27) (SH3 domain-containing protein 20),ARHGAP27 CAMGAP1 SH3D20 PP905,Homo sapiens (Human),889
ARHGAP30,Q7Z6I6,reviewed,RHG30_HUMAN,Rho GTPase-activating protein 30 (Rho-type GTPase-activating protein 30),ARHGAP30,Homo sapiens (Human),1101
ARHGAP4,P98171,reviewed,RHG04_HUMAN,Rho GTPase-activating protein 4 (Rho-GAP hematopoietic protein C1) (Rho-type GTPase-activating protein 4) (p115),ARHGAP4 KIAA0131 RGC1 RHOGAP4,Homo sapiens (Human),946
ARHGDIB,P52566,reviewed,GDIR2_HUMAN,Rho GDP-dissociation inhibitor 2 (Rho GDI 2) (Ly-GDI) (Rho-GDI beta),ARHGDIB GDIA2 GDID4 RAP1GN1,Homo sapiens (Human),201
ARHGEF1,Q92888,reviewed,ARHG1_HUMAN,Rho guanine nucleotide exchange factor 1 (115 kDa guanine nucleotide exchange factor) (p115-RhoGEF) (p115RhoGEF) (Sub1.5),ARHGEF1,Homo sapiens (Human),912
ARHGEF11,O15085,reviewed,ARHGB_HUMAN,Rho guanine nucleotide exchange factor 11 (PDZ-RhoGEF),ARHGEF11 KIAA0380,Homo sapiens (Human),1522
ARHGEF28,Q8N1W1,reviewed,ARG28_HUMAN,Rho guanine nucleotide exchange factor 28 (190 kDa guanine nucleotide exchange factor) (p190-RhoGEF) (p190RhoGEF) (Rho guanine nucleotide exchange factor),ARHGEF28 KIAA1998 RGNEF,Homo sapiens (Human),1705
ARHGEF33,A8MVX0,reviewed,ARG33_HUMAN,Rho guanine nucleotide exchange factor 33,ARHGEF33,Homo sapiens (Human),844
ARHGEF5,Q12774,reviewed,ARHG5_HUMAN,Rho guanine nucleotide exchange factor 5 (Ephexin-3) (Guanine nucleotide regulatory protein TIM) (Oncogene TIM) (Transforming immortalized mammary oncogene) (p60 TIM),ARHGEF5 TIM,Homo sapiens (Human),1597
ARMH4,Q86TY3,reviewed,ARMD4_HUMAN,Armadillo-like helical domain-containing protein 4 (Upstream of mTORC2 protein),ARMH4 C14orf37,Homo sapiens (Human),774
ARNT2,Q9HBZ2,reviewed,ARNT2_HUMAN,Aryl hydrocarbon receptor nuclear translocator 2 (ARNT protein 2) (Class E basic helix-loop-helix protein 1) (bHLHe1),ARNT2 BHLHE1 KIAA0307,Homo sapiens (Human),717
ARPC1B,O15143,reviewed,ARC1B_HUMAN,Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC),ARPC1B ARC41,Homo sapiens (Human),372
ARSA,O43681,reviewed,GET3_HUMAN,"ATPase GET3 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Guided entry of tail-anchored proteins factor 3, ATPase) (Transmembrane domain recognition complex 40 kDa ATPase subunit) (hARSA-I) (hASNA-I)",GET3 ARSA ASNA1 TRC40,Homo sapiens (Human),348
ASCC3,Q8N3C0,reviewed,ASCC3_HUMAN,"Activating signal cointegrator 1 complex subunit 3 (EC 3.6.4.12) (ASC-1 complex subunit p200) (ASC1p200) (Helicase, ATP binding 1) (Trip4 complex subunit p200)",ASCC3 HELIC1 RQT2,Homo sapiens (Human),2202
ASCL1,P50553,reviewed,ASCL1_HUMAN,Achaete-scute homolog 1 (ASH-1) (hASH1) (Class A basic helix-loop-helix protein 46) (bHLHa46),ASCL1 ASH1 BHLHA46 HASH1,Homo sapiens (Human),236
ASIC2,Q16515,reviewed,ASIC2_HUMAN,"Acid-sensing ion channel 2 (ASIC2) (Amiloride-sensitive brain sodium channel) (Amiloride-sensitive cation channel 1, neuronal) (Amiloride-sensitive cation channel neuronal 1) (Brain sodium channel 1) (BNC1) (BNaC1) (Mammalian degenerin homolog) (MDEG)",ASIC2 ACCN ACCN1 BNAC1 MDEG,Homo sapiens (Human),512
ASPA,P45381,reviewed,ACY2_HUMAN,Aspartoacylase (EC 3.5.1.15) (Aminoacylase-2) (ACY-2),ASPA ACY2 ASP,Homo sapiens (Human),313
ASRGL1,Q7L266,reviewed,ASGL1_HUMAN,Isoaspartyl peptidase/L-asparaginase (EC 3.4.19.5) (EC 3.5.1.1) (Asparaginase-like protein 1) (Beta-aspartyl-peptidase) (Isoaspartyl dipeptidase) (L-asparagine amidohydrolase) [Cleaved into: Isoaspartyl peptidase/L-asparaginase alpha chain; Isoaspartyl peptidase/L-asparaginase beta chain],ASRGL1 ALP CRASH,Homo sapiens (Human),308
ATAD2,Q6PL18,reviewed,ATAD2_HUMAN,ATPase family AAA domain-containing protein 2 (EC 3.6.1.-) (AAA nuclear coregulator cancer-associated protein) (ANCCA),ATAD2 L16 PRO2000,Homo sapiens (Human),1390
ATCAY,Q86WG3,reviewed,ATCAY_HUMAN,Caytaxin (Ataxia cayman type protein) (BNIP-2-homology) (BNIP-H),ATCAY KIAA1872,Homo sapiens (Human),371
ATG3,Q9NT62,reviewed,ATG3_HUMAN,Ubiquitin-like-conjugating enzyme ATG3 (EC 2.3.2.-) (Autophagy-related protein 3) (APG3-like) (hApg3) (Protein PC3-96),ATG3 APG3 APG3L,Homo sapiens (Human),314
ATL1,Q8WXF7,reviewed,ATLA1_HUMAN,Atlastin-1 (EC 3.6.5.-) (Brain-specific GTP-binding protein) (GTP-binding protein 3) (GBP-3) (hGBP3) (Guanine nucleotide-binding protein 3) (Spastic paraplegia 3 protein A),ATL1 GBP3 SPG3A,Homo sapiens (Human),558
ATN1,P54259,reviewed,ATN1_HUMAN,Atrophin-1 (Dentatorubral-pallidoluysian atrophy protein),ATN1 D12S755E DRPLA,Homo sapiens (Human),1190
ATP13A2,Q9NQ11,reviewed,AT132_HUMAN,Polyamine-transporting ATPase 13A2 (EC 7.6.2.-),ATP13A2 PARK9,Homo sapiens (Human),1180
ATP1A1,P05023,reviewed,AT1A1_HUMAN,Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1),ATP1A1,Homo sapiens (Human),1023
ATP1A2,P50993,reviewed,AT1A2_HUMAN,Sodium/potassium-transporting ATPase subunit alpha-2 (Na(+)/K(+) ATPase alpha-2 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-2),ATP1A2 KIAA0778,Homo sapiens (Human),1020
ATP1A3,P13637,reviewed,AT1A3_HUMAN,Sodium/potassium-transporting ATPase subunit alpha-3 (Na(+)/K(+) ATPase alpha-3 subunit) (EC 7.2.2.13) (Na(+)/K(+) ATPase alpha(III) subunit) (Sodium pump subunit alpha-3),ATP1A3,Homo sapiens (Human),1013
ATP2A2,P16615,reviewed,AT2A2_HUMAN,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (EC 7.2.2.10) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)",ATP2A2 ATP2B,Homo sapiens (Human),1042
ATP2B1,P20020,reviewed,AT2B1_HUMAN,Plasma membrane calcium-transporting ATPase 1 (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 1) (PMCA1) (Plasma membrane calcium pump isoform 1),ATP2B1 PMCA1,Homo sapiens (Human),1220
ATP2B2,P23634,reviewed,AT2B4_HUMAN,Plasma membrane calcium-transporting ATPase 4 (PMCA4) (EC 7.2.2.10) (Matrix-remodeling-associated protein 1) (Plasma membrane calcium ATPase isoform 4) (Plasma membrane calcium pump isoform 4),ATP2B4 ATP2B2 MXRA1,Homo sapiens (Human),1241
ATP2B3,Q16720,reviewed,AT2B3_HUMAN,Plasma membrane calcium-transporting ATPase 3 (PMCA3) (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 3) (Plasma membrane calcium pump isoform 3),ATP2B3,Homo sapiens (Human),1220
ATP2B4,P23634,reviewed,AT2B4_HUMAN,Plasma membrane calcium-transporting ATPase 4 (PMCA4) (EC 7.2.2.10) (Matrix-remodeling-associated protein 1) (Plasma membrane calcium ATPase isoform 4) (Plasma membrane calcium pump isoform 4),ATP2B4 ATP2B2 MXRA1,Homo sapiens (Human),1241
ATP5F1A,P25705,reviewed,ATPA_HUMAN,"ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)",ATP5F1A ATP5A ATP5A1 ATP5AL2 ATPM,Homo sapiens (Human),553
ATP5ME,P56385,reviewed,ATP5I_HUMAN,"ATP synthase subunit e, mitochondrial (ATPase subunit e) (ATP synthase membrane subunit e) [Cleaved into: ATP synthase subunit e, mitochondrial, N-terminally processed]",ATP5ME ATP5I ATP5K,Homo sapiens (Human),69
ATP5PB,P24539,reviewed,AT5F1_HUMAN,"ATP synthase F(0) complex subunit B1, mitochondrial (ATP synthase peripheral stalk-membrane subunit b) (ATP synthase proton-transporting mitochondrial F(0) complex subunit B1) (ATP synthase subunit b) (ATPase subunit b)",ATP5PB ATP5F1,Homo sapiens (Human),256
ATP5PD,O75947,reviewed,ATP5H_HUMAN,"ATP synthase subunit d, mitochondrial (ATPase subunit d) (ATP synthase peripheral stalk subunit d)",ATP5PD ATP5H My032,Homo sapiens (Human),161
ATP5PO,P48047,reviewed,ATPO_HUMAN,"ATP synthase subunit O, mitochondrial (ATP synthase peripheral stalk subunit OSCP) (Oligomycin sensitivity conferral protein) (OSCP)",ATP5PO ATP5O ATPO,Homo sapiens (Human),213
